###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
4747;4;3;16;2,29113102;0,009982076;3;0,014008011;0,4;0;3
4668;10;8;17;25,57346249;0,233866581;3;0,757375525;1;0;3
5553;9;10;4;27,22355747;1,027739522;6;0,784073127;0,9;0;3
520;6;6;519;108,481;0,056;693;0,593;0,594;0;0
7030;9;6;1;38,54020405;0,250894739;3;0,498002358;0,9;0;4
5483;8;7;13;18,95008373;0,229073622;4;0,572306472;0,8;0;3
6354;6;5;5;0;0,067667511;1;0,536261032;0,6;0;4
3524;6;6;13;4,411252022;0,501444515;5;0,064145595;0,6;0;2
5780;9;8;10;19,70612717;1,210638934;4;0,869602302;0,9;0;3
759;7;8;758;199,885;0,037;850;0,836;0,693;1;0
4798;4;5;8;2,283130646;0,013434774;2;0,300450061;0,4;0;3
6973;9;16;4;121,7619643;1,328861773;4;0,563445319;0,9;0;4
6384;6;7;14;10,62560749;0,880887344;2;0,509601525;0,6;0;4
2305;6;2;14;0,85104847;0,075574495;6;0,511194058;0,6;0;1
6745;8;5;15;0;0,018314731;1;0,409459846;0,8;0;4
4537;10;17;7;64,6166954;1,4040211;8;0,984251794;1;0;3
5467;8;6;17;0;0,060155478;1;0,295576139;0,8;0;3
3012;10;5;2;199,999;0,145182661;96;3,408181194;1;1;2
3875;8;12;5;12,3987093;1,449355503;6;0,534071289;0,8;0;2
5190;7;4;19;0;0,062531898;1;0,103070609;0,7;0;3
2148;4;6;16;45,32259226;1,071145459;6;0,382871051;0,4;0;1
3493;6;4;3;8,25947237;0,02054907;3;0,08689545;0,6;0;2
692;7;5;691;1,56;0,014;9;0,615;0,693;0;0
1480;10;2;1479;4,037;0,038;32;0,986;0,99;0;0
4316;9;6;6;7,627436161;0,089256545;6;0,196352754;0,9;0;2
2099;4;3;8;1,655094624;0,032685319;6;0,198171131;0,4;0;1
2854;10;14;4;130,7704797;1,223654237;11;0,867389589;1;0;2
916;8;4;915;1,532;0,016;9;0,775;0,792;0;0
3202;4;3;11;0,572032928;0,056577457;2;0,26013563;0,4;0;2
5437;8;4;8;3,007172108;0,860066789;2;0,402632559;0,8;0;3
3992;8;5;2;14,99885798;0,550042371;6;0,767997108;0,8;0;2
2527;8;1;16;0,375021458;0,021354;5;0,104066524;0,8;0;1
946;8;6;945;11,668;0,066;54;0,791;0,792;0;0
3499;6;4;9;199,999;0,013305267;16;1,267422837;0,6;1;2
3398;5;7;8;3,449197292;0,93412231;3;0,136148098;0,5;0;2
2415;7;1;5;0,157009125;0,002701;3;0,015550116;0,7;0;1
3205;4;3;14;0,25501442;0,00706312;2;0,130471004;0,4;0;2
1825;10;2;13;1,418081284;0,049589373;5;0,901621739;1;0;1
1579;10;7;1578;166,504;0,061;526;0,99;0,99;0;0
6588;7;8;18;7,42642498;0,095802494;2;0,372683361;0,7;0;4
5076;6;8;6;3,428195953;0,656486974;2;0,553026185;0,6;0;3
1590;10;8;1589;3,888;0,015;10;0,948;0,99;0;0
3263;4;6;12;8,541488647;0,165603809;13;0,073886683;0,4;0;2
1877;10;4;6;12,19769764;0,014863235;5;0,90725243;1;0;1
427;6;2;426;76,643;0,024;1149;0,594;0,594;0;0
5657;9;15;8;26,85753632;1,519960085;5;0,455215848;0,9;0;3
